Project_name,Bee Unique ID,Date_comb,Date_reformat,Locality_reformat,Latitude ,Longitude,Site_Grouping,Ecoregion,Elevation_ft,County,Collector,Time_Collected,Floral association (field ID),Verified Bee species ID,sex/caste,Final Species ID determiner,Specimen pinned?
calibombus,Cali00001,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00002,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00003,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00004,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,trifolium,vosnesenskii,worker,,N
calibombus,Cali00005,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,trifolium,vosnesenskii,worker,,N
calibombus,Cali00006,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00007,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00008,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00009,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00010,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00011,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00012,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00013,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00014,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00015,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00016,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,queen,B Lewis-Smith,Y
