Bee Species,Number of Sites,Number of Ecoregions,Total Collected,Overall Abundance
vosnesenskii,16,5,987,56.72413793
melanopygus,9,3,143,8.218390805
vandykei,5,2,19,1.091954023
fervidus,3,3,23,1.32183908
caliginosus,5,2,36,2.068965517
flavidus,4,4,23,1.32183908
flavifrons,5,3,130,7.471264368
rufocinctus,11,4,71,4.08045977
insularis,3,2,21,1.206896552
bifarius,6,3,128,7.356321839
huntii,1,1,28,1.609195402
kirbiellus,1,1,12,0.689655172
sylvicola,1,1,48,2.75862069
centralis,1,1,5,0.287356322
mixtus,4,2,61,3.505747126
griseocollis,1,1,3,0.172413793
appositus,1,1,2,0.114942529
